event_id,label,is_anomaly,campaign_id,stage,split
evt_ses_dev_0012_00000_000,normal,False,,,train
evt_ses_dev_0012_00000_001,normal,False,,,train
evt_ses_dev_0018_00000_000,normal,False,,,train
evt_ses_dev_0018_00000_001,normal,False,,,train
evt_ses_svc_0011_00000_000,normal,False,,,train
evt_ses_svc_0011_00000_001,normal,False,,,train
evt_ses_svc_0011_00000_002,normal,False,,,train
evt_ses_svc_0013_00000_000,normal,False,,,train
evt_ses_svc_0013_00000_001,normal,False,,,train
evt_ses_svc_0013_00000_002,normal,False,,,train
evt_ses_svc_0013_00000_003,normal,False,,,train
evt_ses_svc_0013_00000_004,normal,False,,,train
evt_ses_user_0106_00000_000,normal,False,,,train
evt_ses_user_0106_00000_001,normal,False,,,train
evt_ses_user_0106_00000_002,normal,False,,,train
evt_ses_user_0106_00000_003,normal,False,,,train
evt_ses_user_0106_00000_004,normal,False,,,train
evt_ses_user_0106_00000_005,normal,False,,,train
evt_ses_user_0106_00000_006,normal,False,,,train
evt_atk_imposs00063_home,impossible_travel,True,,,train
evt_ses_user_0139_00000_000,normal,False,,,train
evt_ses_user_0139_00000_001,normal,False,,,train
evt_ses_user_0139_00000_002,normal,False,,,train
evt_ses_user_0139_00000_003,normal,False,,,train
evt_ses_user_0139_00000_004,normal,False,,,train
evt_ses_user_0139_00000_005,normal,False,,,train
evt_atk_imposs00063_far0,impossible_travel,True,,,train
evt_atk_imposs00063_far1,impossible_travel,True,,,train
evt_atk_device00082_000,device_spoofing,True,,,train
evt_atk_device00082_001,device_spoofing,True,,,train
evt_atk_device00082_002,device_spoofing,True,,,train
evt_atk_creden00020_000,credential_misuse,True,,,train
evt_atk_creden00020_001,credential_misuse,True,,,train
evt_atk_creden00020_002,credential_misuse,True,,,train
evt_atk_creden00020_003,credential_misuse,True,,,train
evt_atk_creden00020_004,credential_misuse,True,,,train
evt_atk_inside00097_000_000,insider_drift,True,,,train
evt_atk_inside00097_000_001,insider_drift,True,,,train
evt_atk_inside00097_000_002,insider_drift,True,,,train
evt_atk_inside00097_000_003,insider_drift,True,,,train
evt_atk_creden00065_015_1,credential_stuffing,True,,,train
evt_atk_creden00065_015_0,credential_stuffing,True,,,train
evt_atk_inside00097_001_000,insider_drift,True,,,train
evt_atk_brute_00041_000,brute_force,True,,,train
evt_atk_brute_00041_001,brute_force,True,,,train
evt_atk_brute_00041_002,brute_force,True,,,train
evt_atk_brute_00041_003,brute_force,True,,,train
evt_atk_brute_00041_004,brute_force,True,,,train
evt_atk_devi0017s1_000,lateral_movement,True,cmp_device_0017,1,train
evt_atk_devi0017s1_001,lateral_movement,True,cmp_device_0017,1,train
evt_atk_devi0017s1_002,lateral_movement,True,cmp_device_0017,1,train
evt_atk_devi0017s1_003,lateral_movement,True,cmp_device_0017,1,train
evt_atk_devi0017s1_004,lateral_movement,True,cmp_device_0017,1,train
evt_atk_devi0017s2_000,low_and_slow_exfil,True,cmp_device_0017,2,train
evt_atk_devi0017s2_001,low_and_slow_exfil,True,cmp_device_0017,2,train
evt_atk_devi0017s2_002,low_and_slow_exfil,True,cmp_device_0017,2,train
evt_atk_devi0017s2_003,low_and_slow_exfil,True,cmp_device_0017,2,train
evt_atk_devi0017s2_004,low_and_slow_exfil,True,cmp_device_0017,2,train
evt_ses_svc_0036_00129_000,normal,False,,,val
evt_ses_svc_0036_00129_001,normal,False,,,val
evt_ses_dev_0016_00235_000,normal,False,,,val
evt_ses_dev_0016_00235_001,normal,False,,,val
evt_ses_dev_0023_00204_000,normal,False,,,val
evt_ses_dev_0023_00204_001,normal,False,,,val
evt_ses_svc_0004_00197_000,normal,False,,,val
evt_ses_svc_0004_00197_001,normal,False,,,val
evt_ses_user_0067_00086_000,normal,False,,,val
evt_ses_user_0067_00086_001,normal,False,,,val
evt_ses_user_0067_00086_002,normal,False,,,val
evt_ses_user_0067_00086_003,normal,False,,,val
evt_ses_user_0067_00086_004,normal,False,,,val
evt_ses_user_0067_00086_005,normal,False,,,val
evt_ses_user_0067_00086_006,normal,False,,,val
evt_ses_user_0067_00086_007,normal,False,,,val
evt_ses_user_0067_00086_008,normal,False,,,val
evt_ses_user_0067_00086_009,normal,False,,,val
evt_ses_user_0067_00086_010,normal,False,,,val
evt_ses_user_0079_00071_000,normal,False,,,val
evt_ses_user_0079_00071_001,normal,False,,,val
evt_ses_user_0079_00071_002,normal,False,,,val
evt_ses_user_0079_00071_003,normal,False,,,val
evt_ses_svc_0036_00185_000,normal,False,,,test
evt_ses_svc_0036_00185_001,normal,False,,,test
evt_ses_svc_0036_00185_002,normal,False,,,test
evt_ses_dev_0022_00285_000,normal,False,,,test
evt_ses_svc_0005_00192_000,normal,False,,,test
evt_ses_dev_0022_00285_001,normal,False,,,test
evt_ses_svc_0005_00192_001,normal,False,,,test
evt_ses_dev_0023_00259_000,normal,False,,,test
evt_ses_dev_0023_00259_001,normal,False,,,test
evt_ses_dev_0023_00259_002,normal,False,,,test
evt_ses_dev_0023_00259_003,normal,False,,,test
evt_ses_user_0015_00048_000,normal,False,,,test
evt_ses_user_0015_00048_001,normal,False,,,test
evt_ses_user_0015_00048_002,normal,False,,,test
evt_ses_user_0015_00048_003,normal,False,,,test
evt_ses_user_0015_00048_004,normal,False,,,test
evt_ses_user_0015_00048_005,normal,False,,,test
evt_ses_user_0015_00048_006,normal,False,,,test
evt_ses_user_0154_00104_000,normal,False,,,test
